HEX,L*,a*,b*
#dbc2c5,80.5583200985847,9.311550488806553,1.736374373937588
#db8091,63.791632042082384,37.043223502648715,6.21500252802254
#ae6b72,52.653672054995496,27.615181079350513,7.475345344918494
#7c3138,31.27379213466333,33.25580918767526,12.288955258260458
#a80c16,35.29841662015996,57.39629643438418,39.83599751090805
#710810,22.733471455317925,42.5411725532622,27.17259589496303
#722142,26.903422531327735,38.3783082105735,-0.7734115681151121
#dee18a,87.59003244409188,-13.724297488303062,42.206451161751616
#487169,44.52870427970844,-16.30810283267986,-0.10667319112946938
#0b6d68,41.22706048733272,-26.600424588165833,-4.588183877250652
#789dc9,63.608315781394396,-1.4213164617370433,-26.605750974091393
#6f81a9,53.967127489229966,3.373810880900052,-23.348505326370493
#153c81,26.664330406917742,13.917226563646857,-42.747011266323675
#13276b,18.586156189803567,19.561685784893037,-41.852692294769554
#596b93,45.28299093304287,3.8834605600124306,-24.003239721953683
#47578b,37.8770987511906,8.9348377696854,-30.854971348290427
#aca9bc,70.0195508317191,4.779812331276389,-9.325337730966954
#9288bc,59.296577846300025,14.863292636111137,-25.780051321740615
#6a555d,38.466568117157614,10.12580237505456,-1.3453949335531679
#2b0a1d,7.40250955904461,19.511616856889596,-4.773084142581208
#d5d6c8,85.20493845119502,-2.8058649741417585,6.796077703420833
#9aa2b5,66.55528465906009,1.1173463628660896,-10.760003583897415
#838186,54.28813543524808,1.74366715428953,-2.4280607047599823
#51626a,40.45092048998044,-4.4686032535042886,-6.67207129389964
#1b2026,11.997107329661453,-0.5461822522010024,-4.806115721864035
#0e1331,7.052612842507866,9.019983317351294,-20.691376059406853
#8b7b62,52.43943272977437,2.075335784527621,15.946000844390461
#3c2014,15.718705037943714,12.106086586515241,13.881326798795996
